city,town,district,neighborhood
trabzon,salpazari,merkez,kabasakal mah
osmaniye,kadirli,merkezkoyler,saritanismanli koyu
osmaniye,duzici,merkez,cumhuriyet mah
bolu,mudurnu,merkezkoyler,merkez mah (timaraktas koyu)
karaman,ayranci,merkezkoyler,andikara mah (akpinar koyu)
kastamonu,agli,merkezkoyler,ornu mah (akdivan koyu)
samsun,ladik,merkez,camlikoy mah
sivas,kangal,merkezkoyler,sipahi mah (sipahi koyu)
kastamonu,taskopru,merkez,karasait mah
bursa,osmangazi,carsi,reyhan mah
kayseri,tomarza,merkez,avsarsogutlu mah
giresun,gorele,merkezkoyler,yali mah (kusculu koyu)
konya,kadinhani,merkez,yeni mah
ankara,mamak,huseyingazi,basak mah
kastamonu,merkez,merkezkoyler,dengel mah (ibisler koyu)
sinop,turkeli,merkezkoyler,aydinoglu mah (sarmasik koyu)
batman,merkez,kultur,pazaryeri mah
sanliurfa,eyyubiye,merkez,gunes mah
osmaniye,merkez,merkezkoyler,hamus mah (kumarli koyu)
erzurum,ispir,merkez,bademli mah
giresun,canakci,merkez,kiran mah (dogankoy koyu)
canakkale,ayvacik,merkezkoyler,babakale koyu
sanliurfa,bozova,yaylak,yaylak mah
konya,beysehir,merkez,yazyurdu mah
isparta,senirkent,merkezkoyler,zafer mah (buyukkabaca koyu)
aksaray,agacoren,merkez,gumustepe mah
hatay,antakya,haraparasi,avsuyu mah
hatay,kirikhan,merkez,adalar mah
aydin,soke,merkez,karacahayit mah
kirklareli,luleburgaz,merkez,sarimsakli mah
isparta,sutculer,merkezkoyler,cobanisa koyu
giresun,bulancak,merkezkoyler,cukurca mah (icilli koyu)
sirnak,cizre,merkezkoyler,kebeli koyu
hatay,iskenderun,tepeler,baristepe mah
kars,kagizman,merkezkoyler,sagbas koyu
mus,merkez,merkezkoyler,alagun koyu
bartin,ulus,merkezkoyler,kayacilar mah (igneciler koyu)
edirne,uzunkopru,copkoy,yagmurca koyu
kars,kagizman,merkezkoyler,karabag koyu
artvin,ardanuc,merkezkoyler,orta mah (cakillar koyu)
erzincan,refahiye,merkezkoyler,yanik mah (camlimulk koyu)
rize,cayeli,buyukkoy,kalyoncular mah (gurgenli koyu)
aksaray,merkez,merkezkoyler,ceran koyu
bayburt,merkez,merkezkoyler,gunluce mah (ulucayir koyu)
kocaeli,gebze,merkez,sultan orhan mah
istanbul,umraniye,ihlamurkuyu,cemil meric mah
elazig,palu,merkezkoyler,ucdegirmenler koyu
istanbul,cekmekoy,tasdelen,sogukpinar mah
van,gurpinar,merkez,ormeli mah
kirikkale,keskin,merkezkoyler,keskinkayalar mah (cipideresi koyu)
canakkale,ayvacik,kucukkuyu,adatepebasi degirmendere mah (adatepe koyu)
agri,dogubayazit,merkezkoyler,alintepe koyu
istanbul,uskudar,kirazlitepe,mehmet akif ersoy mah
kocaeli,gebze,merkez,kosklu cesme mah
sanliurfa,bozova,yaylak,mulkoren mah
konya,meram,merkez,yaka mah
manisa,alasehir,merkez,baris mah
giresun,yaglidere,merkezkoyler,torunuyani mah (hisarcik koyu)
giresun,espiye,merkezkoyler,koprubasi mah (kurugeris koyu)
karabuk,ovacik,merkezkoyler,asagi mah (soganli koyu)
bolu,merkez,merkezkoyler,seremetler mah (ruzgarlar koyu)
aydin,kusadasi,merkez,yenikoy mah
giresun,camoluk,merkezkoyler,merkez mah (hacioren koyu)
kayseri,yesilhisar,merkez,fevzioglu mah
mardin,kiziltepe,merkez,erikli mah
karabuk,eflani,merkez,yalacik mah
zonguldak,eregli,merkezkoyler,esentepe mah (samlar koyu)
artvin,yusufeli,merkezkoyler,cukur mah (ishan koyu)
adiyaman,gerger,merkezkoyler,pamuluk mah (gumuskasik koyu)
giresun,gorele,merkezkoyler,belen mah (kusculu koyu)
sivas,koyulhisar,merkezkoyler,direkli mh. (ortaseki koyu)
kirklareli,merkez,merkezkoyler,karincak koyu
tunceli,hozat,merkezkoyler,erenler mah (caglarca koyu)
artvin,savsat,merkezkoyler,tekdilde mah (kayadibi koyu)
tokat,turhal,merkezkoyler,uluoz koyu
gaziantep,sahinbey,duztepe,ozdemirbey mah
duzce,yigilca,merkezkoyler,salavat mah (kirik koyu)
duzce,merkez,konuralp,merkez mah (samandere koyu)
ordu,unye,merkez,nurettin mah
diyarbakir,cermik,merkez,bulundu mah
aksaray,merkez,sanayi,kucuk bolcek mah
edirne,enez,merkezkoyler,ceribasi koyu
bartin,amasra,merkezkoyler,kuyupinar mah (cakrazboz koyu)
karaman,merkez,merkezkoyler,yilangomu koyu
bolu,goynuk,merkezkoyler,kurtulus mah (kumcuk koyu)
balikesir,altieylul,merkez,kurse mah
usak,karahalli,merkezkoyler,durakli koyu
mus,merkez,merkezkoyler,yucetepe koyu
elazig,karakocan,merkezkoyler,ali mezrasi mah (yogunagac koyu)
nevsehir,hacibektas,merkezkoyler,yeni mah (karaburna koyu)
amasya,merkez,merkezkoyler,bogakoy koyu
corum,kargi,merkezkoyler,asagi mah (bayat koyu)
ankara,polatli,merkez,gazi mah
zonguldak,eregli,merkezkoyler,yukari mah (soganliyoruk koyu)
manisa,alasehir,merkez,carikkaralar mah
sivas,kangal,merkezkoyler,akcamagara koyu
izmir,kinik,merkez,poyracik mah
bartin,ulus,merkezkoyler,merkez mah (alpi koyu)
ardahan,hanak,merkezkoyler,sevimli koyu
rize,pazar,merkezkoyler,kasapoglu mevki mah (sahilkoy koyu)
erzincan,tercan,merkezkoyler,inakli mezrasi mah (yaylim koyu)
yalova,ciftlikkoy,merkezkoyler,merkez mah (cukurkoy koyu)
adiyaman,merkez,merkez koyler,kocali koyu
rize,hemsin,merkez,bahar mah
bitlis,hizan,merkezkoyler,oymapinar koyu
izmir,karabaglar,zincirlikuyu,gulyaka mah
agri,merkez,merkezkoyler,gulcimen mah (yukariagadeve koyu)
kastamonu,devrekani,merkezkoyler,kaylica mah (basakpinar koyu)
mardin,kiziltepe,merkez,aritepe mah
osmaniye,duzici,merkezkoyler,mezdag mah (gumus koyu)
adana,yuregir,alihocali,cotlu mah
batman,sason,merkezkoyler,cinarli koyu
mersin,camliyayla,merkez,sarikavak mah
bilecik,bozuyuk,merkezkoyler,asagiarmutlu koyu
bilecik,golpazari,merkezkoyler,seyfiler mah (tasciahiler koyu)
nigde,bor,merkezkoyler,bereke koyu
kastamonu,merkez,merkezkoyler,susuz mah (derebercin koyu)
bolu,gerede,merkezkoyler,yansaba yaylasi mah (dagkara koyu)
elazig,baskil,merkezkoyler,asagi ardisli mah (karakas koyu)
osmaniye,kadirli,merkezkoyler,caygecit koyu
canakkale,yenice,merkezkoyler,cinarcik koyu
mersin,silifke,merkez,bayindir mah
kirklareli,pinarhisar,merkezkoyler,evciler koyu
diyarbakir,bismil,merkez,yukariharim mah
artvin,borcka,merkezkoyler,akpinar koyu
yozgat,akdagmadeni,merkez,emek mah
tunceli,ovacik,merkezkoyler,yaylagunu koyu
cankiri,cerkes,merkezkoyler,yoncali koyu
adana,kozan,kahveli,velicanli mah
konya,karatay,selimiye,akabe mah
trabzon,tonya,merkez,orta mah
kayseri,sarioglan,merkez,duzencik mah
canakkale,ayvacik,merkezkoyler,ataturk mah (gulpinar koyu)
ardahan,merkez,ardahan,kaptanpasa mah
amasya,merzifon,merkezkoyler,yolustu koyu
duzce,kaynasli,merkezkoyler,kahveci mah (dariyerimengencik koyu)
malatya,hekimhan,merkez,hacilar mah
sanliurfa,haliliye,baglarbasi,seyrantepe mah
sivas,gurun,merkez,isitan mah
kayseri,kocasinan,yeni mahalle,sirinevler mah
zonguldak,devrek,merkezkoyler,kaymakcioglu mah (burhanoglu koyu)
diyarbakir,bismil,merkez,corapa mah
isparta,sutculer,merkezkoyler,bekiragalar koyu
yozgat,kadisehri,merkezkoyler,akcakale koyu
edirne,havsa,merkezkoyler,abalar mah (abalar koyu)
siirt,kurtalan,merkezkoyler,baglar mah (kayabaglar koyu)
diyarbakir,silvan,merkez,yesilkoy mah
adiyaman,kahta,merkezkoyler,hamzalar koyu
nevsehir,gulsehir,merkezkoyler,alkan koyu
aydin,kosk,merkez,mezekoy mah
rize,cayeli,buyukkoy,caydahor mah (karaagac koyu)
giresun,kesap,merkezkoyler,kesikagizlar mah (kilicli koyu)
malatya,hekimhan,merkez,akmagara mah
kirklareli,merkez,derekoy,derekoy  bucak merkezi koyu
bolu,goynuk,merkezkoyler,dedeler koyu
isparta,merkez,merkezkoyler,bahcelievler mah (yakaoren koyu)
antalya,kas,merkez,cerler mah
bolu,yenicaga,merkezkoyler,boya deresi-teper mah (asagikuldan koyu)
gumushane,kurtun,merkezkoyler,hapanduzu mah (kirgeris koyu)
trabzon,ortahisar,bostanci,akoluk mah
tokat,almus,merkezkoyler,cavusgiller mah (ciftlik koyu)
adiyaman,besni,merkezkoyler,coplukisla mah (yenikoy koyu)
bolu,merkez,merkezkoyler,asagi candir mah (banaz koyu)
kirsehir,akpinar,merkezkoyler,sofrazli koyu
osmaniye,merkez,ataturk,vatan mah
samsun,asarcik,merkez,alisar mah
mersin,akdeniz,mithatpasa,yanpar mah
samsun,ilkadim,rasathane,ilyaskoy mah
bilecik,osmaneli,merkezkoyler,besevler mah (hisarcik koyu)
corum,sungurlu,merkezkoyler,gokcekoy koyu
bartin,merkez,kozcagiz,subasi mah (hocaoglu koyu)
tokat,erbaa,karayaka,kizilcaalan mah (catalan koyu)
bitlis,hizan,merkezkoyler,yukaricali koyu
izmir,menemen,merkez,mustafa kemal ataturk mah
manisa,akhisar,merkez,tascilar mah
kahramanmaras,onikisubat,binevler,yamactepe mah
ankara,kizilcahamam,merkez,igmir mah
kahramanmaras,onikisubat,suleymanli,yolyani mah
kastamonu,cide,merkezkoyler,yukari mah (ishakca koyu)
artvin,yusufeli,merkezkoyler,kadioglu mah (balalan koyu)
erzurum,karayazi,merkez,yukarisoylemez mah
adiyaman,gerger,merkezkoyler,korulu koyu
tokat,merkez,merkezkoyler,buyukbaglar koyu
igdir,tuzluca,merkezkoyler,sariabdal koyu
agri,dogubayazit,merkezkoyler,besler koyu
yozgat,sefaatli,merkezkoyler,sacli koyu
kastamonu,abana,merkez,haciveli mah
artvin,borcka,merkezkoyler,petrol mah (kale koyu)
edirne,kesan,merkezkoyler,yeni mah (begendik koyu)
yalova,merkez,baglarbasi,mustafa kemal pasa mah
artvin,merkez,merkezkoyler,rahtevanoglu mah (erenler koyu)
agri,taslicay,merkezkoyler,tanriverdi koyu
sinop,duragan,merkezkoyler,ericek mah (beyardic koyu)
kars,akyaka,merkezkoyler,esenyayla koyu
kutahya,merkez,alipasa,vefa mah
gaziantep,sehitkamil,merve,mervesehir mah
trabzon,besikduzu,merkez,besikdag mah
sinop,ayancik,merkezkoyler,terze mah (huseyinbey koyu)
kastamonu,kure,merkezkoyler,cuha mah (kayadibi koyu)
kocaeli,izmit,merkez,dugmeciler mah
samsun,vezirkopru,merkez,cayirbasi mah
canakkale,lapseki,merkezkoyler,kircalar koyu
mardin,omerli,merkez,mutluca mah
kastamonu,merkez,merkezkoyler,dikkil mah (yukarielyakut koyu)
sakarya,adapazari,merkez,baglar mah
trabzon,of,merkez,cumhuriyet mah
usak,sivasli,merkezkoyler,akalan mah (karaboyalik koyu)
sivas,merkez,alibaba,kucukminare mah
cankiri,merkez,merkezkoyler,merkez mah (altinli koyu)
sanliurfa,hilvan,merkez,aslanli mah
kahramanmaras,onikisubat,hacibayram,oruc reis mah
kastamonu,cide,merkezkoyler,kose mah (akca koyu)
samsun,kavak,merkez,calbasi mah
kastamonu,doganyurt,merkezkoyler,yanikdag mah (ortaburun koyu)
tokat,almus,merkezkoyler,cumhuriyet mah (golgeli koyu)
bingol,merkez,merkezkoyler,erdemli koyu
mersin,silifke,merkez,kabasakalli mah
kastamonu,merkez,merkezkoyler,alcicilar mah (alcucular koyu)
zonguldak,devrek,merkezkoyler,tascioglu mah (mufettisler koyu)
manisa,demirci,merkez,karaisalar mah
karabuk,merkez,merkezkoyler,okul sokak mah (yesilkoy koyu)
karaman,merkez,merkezkoyler,kalaba koyu
artvin,arhavi,merkezkoyler,yildizli koyu
burdur,aglasun,merkezkoyler,derekoy koyu
ankara,etimesgut,yurtcu,sehitali mah
sinop,merkez,merkezkoyler,bedeller mah (erikli koyu)
karaman,merkez,merkezkoyler,zengen koyu
amasya,merzifon,merkez,bahcelievler mah
isparta,yalvac,merkez,abacilar mah
burdur,merkez,merkezkoyler,karacaoren koyu
sinop,duragan,merkezkoyler,kunduz mah (akpinar koyu)
mugla,kavaklidere,merkez,yesilkoy mah
bolu,dortdivan,merkezkoyler,cukurca aladagi mah (asagisayik koyu)
sivas,divrigi,merkezkoyler,kuluncak koyu
sanliurfa,eyyubiye,merkez,kucukduzluk mah
bitlis,mutki,merkezkoyler,guvenli mah (bozburun koyu)
duzce,kaynasli,merkezkoyler,merkez mah (altunkoy koyu)
tunceli,pulumur,merkez,meydanlar mah
sinop,boyabat,merkezkoyler,adnan menderes  mah (dayli koyu)
osmaniye,bahce,merkezkoyler,tasoluk mah (ariklikas koyu)
sivas,koyulhisar,merkezkoyler,gumuslu sabdas mah (gumuslu koyu)
konya,hadim,merkez,igdeoren mah
konya,cihanbeyli,merkez,zaferiye mah
manisa,yunusemre,laleli,cumhuriyet mah
elazig,baskil,merkezkoyler,cavuslu mah (besboluk koyu)
tunceli,mazgirt,merkezkoyler,yeldegen koyu
artvin,yusufeli,merkezkoyler,kolorta mah (esendal koyu)
erzincan,tercan,merkezkoyler,armutluk koyu
sivas,divrigi,merkezkoyler,burmahan mah (durukoy koyu)
kutahya,merkez,merkezkoyler,porsuk ciftligi mah (goynukoren koyu)
sanliurfa,haliliye,baglarbasi,dikme mah
usak,esme,merkezkoyler,ekerli mah (bozlar koyu)
bingol,adakli,merkezkoyler,uzunpazar mah (cevreli koyu)
gaziantep,sehitkamil,merkez,sofalici mah
van,baskale,merkez,yolmacayir mah
rize,cayeli,buyukkoy,istiklal mah (gurgenli koyu)
tunceli,mazgirt,merkezkoyler,sevikan mah (doganli koyu)
tokat,zile,merkezkoyler,karakuzu koyu
batman,kozluk,merkezkoyler,yesiltepe mah
sakarya,adapazari,karaman,15 temmuz camili mah
aydin,nazilli,merkez,sailer mah
adiyaman,sincik,merkez,karaman mah
istanbul,kartal,topselvi,yali mah
tokat,erbaa,karayaka,gazi osman pasa mah (uzumlu koyu)
afyonkarahisar,emirdag,merkezkoyler,inceli mah (tezkoy koyu)
mersin,aydincik,merkez,cumhuriyet mah
canakkale,yenice,merkezkoyler,cakiroba koyu
kastamonu,taskopru,merkezkoyler,delialisler mah (armutlu koyu)
mersin,toroslar,merkez,yenikoy mah
elazig,maden,merkezkoyler,yorecik mah (dutpinar koyu)
bingol,karliova,merkezkoyler,tuzluca koyu
kastamonu,daday,merkezkoyler,cerciler mah (kizilorencik koyu)
tokat,merkez,geyras,topcubagi mah
giresun,piraziz,merkezkoyler,bozat mah (bozat koyu)
amasya,goynucek,merkezkoyler,sihoglu koyu
osmaniye,kadirli,merkezkoyler,sogancilar mah (kiremitli koyu)
artvin,yusufeli,merkezkoyler,cakmak mah (erenkoy koyu)
zonguldak,devrek,egerci,guney mah (aksu koyu)
bolu,goynuk,merkezkoyler,okcular mah (alankoy koyu)
elazig,keban,merkezkoyler,buklumlu koyu
istanbul,sile,merkez,cavus mah
nigde,altunhisar,merkezkoyler,kale mah (yesilyurt koyu)
kocaeli,gebze,merkez,ahatli mah
erzurum,aziziye,ilica,pasayurdu mah
bitlis,tatvan,yelkenli,tuzluca mah (gollu koyu)
rize,merkez,merkezkoyler,uzumlu mah (salarha koyu)
diyarbakir,lice,merkez,kiralan mah
giresun,tirebolu,merkezkoyler,kandazli mah (atakoy koyu)
antalya,serik,merkez,yankoy mah
gaziantep,karkamis,merkez,elifoglu mah
duzce,merkez,konuralp,dinler mah (kabalak koyu)
canakkale,merkez,merkezkoyler,taslitarla koyu
gumushane,merkez,merkezkoyler,kayabasi mah (kayabasi koyu)
nevsehir,gulsehir,merkezkoyler,esen mah (dadagi koyu)
sinop,ayancik,merkezkoyler,curoglu mah (dibekli koyu)
sivas,koyulhisar,merkezkoyler,okuz ucuran mah (aydinlar koyu)
siirt,kurtalan,merkezkoyler,kilicli koyu
canakkale,bayramic,evciler,kulculer koyu
malatya,kuluncak,merkez,ilisuluk mah
istanbul,atasehir,ataturk,ataturk mah
agri,diyadin,merkezkoyler,delihasan koyu
zonguldak,gokcebey,merkezkoyler,abdibeyoglu mah (gaziler koyu)
burdur,bucak,merkezkoyler,yenice mah (elsazi koyu)
corum,bayat,merkez,yatukcu mah
sivas,ulas,merkezkoyler,tas ocagi  a mah (kayapinar koyu)
giresun,merkez,merkezkoyler,cami yani mah (incegeris koyu)
diyarbakir,cermik,merkez,seyhandede mah
gaziantep,araban,merkez,saritepe mah
kahramanmaras,goksun,merkez,buyukkizilcik mah
izmir,seferihisar,doganbey,cumhuriyet mah
karabuk,yenice,merkez,menderes mah
tokat,erbaa,merkezkoyler,merkez mah (akgun koyu)
sanliurfa,harran,merkez,bugdaytepe mah
yozgat,sarikaya,merkezkoyler,azapbasili koyu
kahramanmaras,andirin,merkez,altinboga mah
sivas,gemerek,merkezkoyler,cat koyu
usak,banaz,merkez,sehitler mah
adiyaman,merkez,merkez koyler,tepebasi mah (hasancik koyu)
tekirdag,sarkoy,merkez,ucmakdere mah
gaziantep,yavuzeli,merkez,gulpinar mah
giresun,dereli,merkezkoyler,namlu mah (konuklu koyu)
nigde,ulukisla,merkezkoyler,emirler koyu
antalya,finike,merkez,boldag mah
erzurum,cat,merkez,yarmak mah
sinop,merkez,merkezkoyler,merkez mah (tasmanli koyu)
erzincan,merkez,merkezkoyler,demetevler mah (gecit koyu)
mersin,toroslar,merkez,caglarca mah
erzurum,pasinler,merkez,tasliguney mah
karabuk,yenice,merkezkoyler,coturoglu mah (keyfallar koyu)
kahramanmaras,onikisubat,suleymanli,hacilar mah
amasya,tasova,merkezkoyler,fevzioglu mah (alpaslan koyu)
mardin,artuklu,istasyon,sultankoy mah
canakkale,ayvacik,kucukkuyu,adatepebasi palamutluk mah (adatepe koyu)
siirt,eruh,baggoze,dagdosu koyu
mugla,bodrum,merkez,cirkan mah
afyonkarahisar,bolvadin,merkezkoyler,fevzicakmak mah (buyukkarabag koyu)
bursa,kestel,merkez,narlidere mah
sivas,yildizeli,merkezkoyler,kerimmumin koyu
tunceli,mazgirt,merkezkoyler,dogucak koyu
bolu,gerede,merkezkoyler,yayla mah (yenecik koyu)
corum,kargi,merkezkoyler,merkez mah (gokbudak koyu)
kayseri,felahiye,merkez,kale mah
diyarbakir,silvan,merkez,asagikaya mah
tokat,erbaa,merkezkoyler,agcakeci koyu
amasya,merzifon,merkez,yeni mah
erzurum,palandoken,merkez,adnan menderes mah
kastamonu,azdavay,merkezkoyler,tutuncu mah (topuk koyu)
kastamonu,merkez,merkezkoyler,yukari mah (ahlatcik koyu)
bartin,ulus,merkezkoyler,hendek mah (sarifasil koyu)
cankiri,sabanozu,merkezkoyler,oluklu mah (caparkayi koyu)
malatya,darende,merkez,gunerli mah
tokat,almus,merkezkoyler,sarioren yaylasi mah (sarioren koyu)
sivas,gemerek,merkezkoyler,tekmen koyu
bilecik,merkez,merkezkoyler,baskoy merkez mah (baskoy koyu)
zonguldak,kozlu,merkezkoyler,merkez mah (uckoy koyu)
gumushane,siran,merkez,tekke mah
canakkale,gelibolu,merkezkoyler,ova mah (ilgardere koyu)
amasya,merkez,merkezkoyler,karaibrahim koyu
afyonkarahisar,sinanpasa,tinaztepe,ambar mah (tinaztepe koyu)
kayseri,melikgazi,carsi,cumhuriyet mah
canakkale,ezine,merkezkoyler,bozeli koyu
artvin,yusufeli,merkezkoyler,magara mah (cevreli koyu)
sivas,koyulhisar,merkezkoyler,direkli mah (ortaseki koyu)
kastamonu,tosya,merkezkoyler,merkez mah (cakirlar koyu)
bolu,mudurnu,merkezkoyler,yeni mah (kovucak koyu)
sinop,merkez,merkezkoyler,sekerli mah (tasmanli koyu)
erzincan,refahiye,merkezkoyler,yaylabasi mah (gazipinari koyu)
adiyaman,merkez,akpinar,akincilar  mah (cerciyan mah) (akdere koyu)
tunceli,hozat,merkezkoyler,merecik mah (turktaner koyu)
batman,kozluk,merkezkoyler,cay kenari mah (cayonu koyu)
sanliurfa,akcakale,merkez,buyuktas mah
canakkale,biga,merkezkoyler,gurgendere koyu
tokat,niksar,merkezkoyler,merkez mah (akguney koyu)
bingol,solhan,merkezkoyler,gol mah (yenidal koyu)
balikesir,balya,patlak,yenikavak mah
sinop,boyabat,merkezkoyler,hocali mah (emiroglu koyu)
balikesir,gonen,hasanbey,pehlivanhoca mah
kocaeli,golcuk,merkez,nuzhetiye mah
zonguldak,caycuma,persembe,andioglu mah (kerimler koyu)
kayseri,yahyali,merkez,cavdarusagi mah
gaziantep,sahinbey,merkez,geneyik mah
adana,saricam,osmangazi,kepeztepe mah
kahramanmaras,afsin,merkez,gaziosmanpasa mah
bingol,genc,merkezkoyler,isikuluk mah (yeniyazi koyu)
adiyaman,kahta,merkezkoyler,osmanpinar mah (koctepe koyu)
aksaray,sariyahsi,merkezkoyler,bogazici mah (bogazkoy koyu)
manisa,salihli,poyraz,sindel mah
tokat,niksar,merkez,yeni mah (gunebakan koyu)
sinop,ayancik,merkezkoyler,merkez mah (babakoy koyu)
elazig,merkez,merkezkoyler,ortahan mah (korukoy koyu)
kayseri,kocasinan,yenisehir,yenidogan mah
corum,ugurludag,merkezkoyler,resuloglu koyu
yalova,cinarcik,merkezkoyler,merkez mah (kocadere koyu)
rize,pazar,merkezkoyler,sabanoglu mevki mah (tektas koyu)
kilis,musabeyli,merkezkoyler,cinarkoy koyu
malatya,arapgir,merkez,suceyin mah
istanbul,fatih,kumkapi,katip kasim mah
manisa,alasehir,merkez,sahyar mah
artvin,ardanuc,merkezkoyler,arkim mah (avcilar koyu)
isparta,yalvac,merkezkoyler,hisarardi koyu
tunceli,pulumur,merkezkoyler,kozluce koyu
tokat,merkez,geyras,yeni mah
afyonkarahisar,cay,merkezkoyler,milli egemenlik mah (akkonak koyu)
kastamonu,arac,merkezkoyler,yayla mah (bekture koyu)
trabzon,yomra,merkez,komurcu mah
bolu,merkez,merkezkoyler,yaka mah (karamanlar koyu)
rize,cayeli,buyukkoy,balcilar mah (derecik koyu)
mersin,mut,merkez,cumhuriyet mah
corum,osmancik,merkezkoyler,karakoy koyu
kastamonu,inebolu,merkezkoyler,iskir mah (ugrak koyu)
kirklareli,babaeski,merkezkoyler,kumrular koyu
cankiri,bayramoren,merkezkoyler,dahanlar mah (karakuzu koyu)
batman,gercus,merkezkoyler,gurbuz koyu
kastamonu,arac,merkezkoyler,asar mah (cevizlik koyu)
elazig,palu,merkezkoyler,kirkbulak koyu
rize,merkez,merkezkoyler,kocatepe koyu
artvin,ardanuc,merkezkoyler,kaltdese mah (aydinkoy koyu)
artvin,yusufeli,merkezkoyler,pisnarhev mah (bicakcilar koyu)
kastamonu,cide,merkezkoyler,samanyolu mah (gokceler koyu)
mardin,artuklu,nur,yenisehir mah
giresun,merkez,merkezkoyler,gurlegen mah (gurkoy koyu)
ankara,yenimahalle,batikent,bati sitesi mah
gaziantep,oguzeli,merkez,hatunlu mah
sivas,zara,merkezkoyler,yuvaca mah (evrencik koyu)
istanbul,kucukcekmece,halkali,halkali merkez mah
mus,malazgirt,aktuzla,beypinar koyu
afyonkarahisar,cay,merkezkoyler,kocatepe mah (inli koyu)
gumushane,merkez,merkezkoyler,cako mah (ovundu koyu)
kayseri,yesilhisar,merkez,cadirkaya mah
yozgat,cayiralan,merkezkoyler,yavuz sultan selim mah (konuklar koyu)
erzurum,cat,merkez,kizilca mah
kastamonu,merkez,merkezkoyler,subasi mah (yurekveren koyu)
cankiri,kizilirmak,merkezkoyler,guneykisla koyu
malatya,hekimhan,merkez,girmana mah
rize,pazar,merkezkoyler,gecitler mevki mah (baskoy koyu)
edirne,kesan,merkezkoyler,altintas koyu
corum,iskilip,merkezkoyler,veletler mah (kilicdere koyu)
sivas,merkez,merkez-koyler,ismailbeyciftligi koyu
tokat,erbaa,karayaka,kuzkoy mah (sukur koyu)
kayseri,kocasinan,yenisehir,istasyon mah
rize,pazar,merkezkoyler,asagi mevki mah (sahilkoy koyu)
antalya,kepez,yeniemek,odabasi mah
giresun,merkez,merkezkoyler,buk mah (barcacakirli koyu)
kastamonu,agli,merkezkoyler,karaoglan mah (olukozu koyu)
samsun,ilkadim,kale,hurriyet mah
bolu,goynuk,merkezkoyler,karaardic merkez mah (karaardic koyu)
aydin,sultanhisar,merkez,incealan mah
kastamonu,tosya,merkezkoyler,gol mah (yagcilar koyu)
bolu,seben,merkezkoyler,demirciler mah (kozyaka koyu)
zonguldak,merkez,beycuma,camlik mah (beycuma koyu)
kayseri,bunyan,merkez,karahidir mah
amasya,gumushacikoy,merkezkoyler,seku koyu
gumushane,kurtun,merkezkoyler,kirik mah (sendere koyu)
adiyaman,merkez,merkez koyler,yazibasi koyu
burdur,bucak,merkez,cukur mah
edirne,uzunkopru,merkezkoyler,salarli koyu
batman,sason,merkezkoyler,arkok mah (yakabag koyu)
van,ercis,merkez,yoldere mah
gaziantep,araban,merkez,emirhaydar mah
tokat,niksar,merkezkoyler,cakmak mah (kapiagzi koyu)
samsun,bafra,merkez,asar mah
kahramanmaras,pazarcik,merkez,fatih mah
malatya,yesilyurt,merkez,bindal mah
kastamonu,merkez,merkezkoyler,benli sultan mah (ahlat koyu)
konya,selcuklu,mimar sinan,selcuk mah
kutahya,gediz,merkezkoyler,karaagac koyu
giresun,eynesil,merkezkoyler,orta mah (yarimca koyu)
kahramanmaras,dulkadiroglu,agabeyli,baydemirli mah
gumushane,siran,merkezkoyler,babacan koyu
adana,aladag,madenli,kislak mah
agri,merkez,merkezkoyler,arap mah (cobanbeyi koyu)
kastamonu,merkez,merkezkoyler,kavak mah (kavak koyu)
artvin,savsat,merkezkoyler,pinartarla mah (kirazli koyu)
izmir,bayindir,merkez,kurt mah
zonguldak,caycuma,hisaronu(filyos),hisaronu mah (filyos koyu)
tunceli,merkez,merkezkoyler,taspinar mz mah (dolukup koyu)
zonguldak,devrek,merkezkoyler,ibrahimoglu mah (burhanoglu koyu)
izmir,narlidere,merkez,yenikale mah
gaziantep,nizip,merkez,fevzi pasa mah
mus,merkez,merkezkoyler,karamese koyu
manisa,akhisar,merkez,beyoba mah
ordu,unye,merkez,sahilkoy mah
canakkale,ezine,merkezkoyler,cariksiz koyu
isparta,sutculer,merkezkoyler,haciahmetler koyu
kilis,merkez,kilis,abdioymagi mah
duzce,merkez,konuralp,kuruluk mah (cinarduzu koyu)
bingol,genc,merkezkoyler,coskunlar mah (yolacti koyu)
tokat,almus,merkezkoyler,akarcay senyurt mah (akarcay gorumlu koyu)
mardin,kiziltepe,merkez,yuceli mah
gumushane,torul,merkezkoyler,dikmeler mh mah (budak koyu)
giresun,dereli,merkezkoyler,ayiliyatak mah (egrianbar koyu)
rize,merkez,merkezkoyler,kasarcilar mah (salarha koyu)
elazig,kovancilar,merkezkoyler,kuscu koyu
kastamonu,catalzeytin,merkezkoyler,tugmen mah (kizilcakaya koyu)
artvin,ardanuc,merkezkoyler,bademli mah (incilli koyu)
giresun,kesap,merkezkoyler,kuzcukur mah (cakirli koyu)
konya,huyuk,merkez,goceri mah
elazig,karakocan,merkezkoyler,cayirlik mah (cayirgulu koyu)
adiyaman,gerger,merkezkoyler,kirmizitarla mah (yenibardak koyu)
nevsehir,merkez,carsi,guzelyurt mah
sivas,zara,merkezkoyler,bolukler mah (sancakkale koyu)
hatay,kirikhan,merkez,golbasi mah
karaman,merkez,merkezkoyler,hamidiye koyu
kutahya,tavsanli,merkezkoyler,ali efendi mah (kizilcukur koyu)
